Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
11-51-18,1.759,0,1.0,1.0,3.239,3.385,0.418,0.563,0.373,0.555,0.006,0.002,-0.031,0.066,-0.158,0.955,-50.852,2.339,75.893,-0.336,-0.13,-0.904,34.904,2.911,-34.662,-25.84,1.114,-27.46,-0.066,-0.161,0.961,-0.028,-0.169,0.956,,12,beach,Low
11-51-19,0.371,0,1.0,1.0,3.252,3.411,0.429,0.624,0.331,0.622,0.007,0.001,-0.031,-0.014,-0.387,0.921,-50.871,2.326,75.93,-0.472,-0.474,-0.736,34.567,2.273,-34.663,-25.171,0.207,-27.292,-0.062,-0.38,0.921,0.094,-0.401,0.91,,12,beach,Low
11-51-20,0.303,0,1.0,1.0,3.307,3.503,0.438,0.623,0.331,0.623,0.006,0.001,-0.031,0.005,-0.397,0.916,-50.834,2.322,75.912,-0.518,-0.486,-0.702,34.449,2.297,-34.68,-25.202,0.203,-27.268,-0.093,-0.377,0.919,0.097,-0.407,0.907,,12,beach,Low
11-51-21,0.374,0,1.0,1.0,3.259,3.428,0.445,0.624,0.347,0.626,0.009,0.001,-0.032,0.03,-0.388,0.91,-50.827,2.329,75.915,-0.528,-0.424,-0.723,34.282,2.334,-34.892,-25.509,0.151,-27.42,-0.098,-0.378,0.91,0.062,-0.399,0.904,,12,beach,Low
11-51-22,0.336,0,1.0,1.0,3.363,3.506,0.439,0.646,0.335,0.646,0.005,0.001,-0.031,0.001,-0.448,0.893,-50.822,2.327,75.92,-0.499,-0.478,-0.721,34.354,2.042,-34.891,-25.288,-0.165,-27.42,-0.084,-0.441,0.892,0.088,-0.456,0.885,,12,beach,Low
11-51-23,0.416,0,1.0,1.0,3.242,3.485,0.413,0.6,0.322,0.601,0.014,0.002,-0.032,-0.035,-0.325,0.936,-50.821,2.329,75.934,-0.493,-0.333,-0.791,34.813,2.595,-34.649,-25.05,0.448,-27.262,-0.019,-0.31,0.941,0.123,-0.325,0.928,,12,beach,Low
11-51-24,1.113,0,1.0,1.0,3.283,3.456,0.333,0.523,0.287,0.518,0.019,0.003,-0.032,-0.171,-0.079,0.982,-50.828,2.324,75.942,-0.451,-0.012,-0.891,36.257,3.541,-34.453,-24.381,1.517,-26.856,0.152,-0.081,0.984,0.207,-0.075,0.975,,12,beach,Low
11-51-25,1.65,0,1.0,1.0,3.297,3.563,0.331,0.513,0.294,0.509,0.009,0.003,-0.031,-0.173,-0.047,0.984,-50.824,2.325,75.967,-0.403,0.044,-0.914,36.345,3.738,-34.643,-24.496,1.557,-26.503,0.149,-0.052,0.987,0.194,-0.041,0.98,,12,beach,Low
11-51-26,1.454,0,1.0,1.0,3.452,3.686,0.318,0.509,0.289,0.504,0.016,0.003,-0.032,-0.182,-0.027,0.983,-50.839,2.324,75.969,-0.398,0.066,-0.915,36.585,3.807,-34.831,-24.399,1.568,-26.362,0.169,-0.031,0.985,0.207,-0.02,0.978,,12,beach,Low
11-51-27,1.526,0,0.96,0.978,2.733,2.87,0.342,0.519,0.305,0.528,0.014,0.003,-0.028,-0.156,-0.027,0.985,-44.205,2.025,66.054,-0.331,0.071,-0.67,36.488,3.617,-34.743,-24.51,1.516,-27.095,0.137,-0.027,0.814,0.163,-0.022,0.809,,12,beach,Low
11-51-28,0.701,0,0.949,0.963,2.763,2.72,0.393,0.602,0.251,0.533,0.01,0.001,-0.027,-0.068,-0.278,0.946,-43.9,2.01,65.595,-0.395,-0.224,-0.587,35.16,2.494,-34.6,-24.776,0.296,-27.201,0.013,-0.28,0.812,0.113,-0.274,0.758,,12,beach,Low
11-51-29,0.409,0,1.0,1.0,3.164,3.324,0.44,0.651,0.338,0.651,0.004,0.001,-0.031,0.01,-0.455,0.881,-50.817,2.324,75.936,-0.507,-0.45,-0.711,34.362,1.856,-34.515,-25.344,-0.122,-27.618,-0.086,-0.447,0.882,0.075,-0.471,0.869,,12,beach,Low
11-51-30,0.305,0,1.0,1.0,3.136,3.357,0.443,0.656,0.332,0.657,0.005,0.001,-0.031,0.015,-0.483,0.875,-50.821,2.323,75.917,-0.525,-0.526,-0.669,34.373,1.814,-34.484,-25.175,-0.248,-27.419,-0.106,-0.469,0.877,0.081,-0.496,0.864,,12,beach,Low
11-51-31,0.355,0,1.0,1.0,3.217,3.378,0.435,0.634,0.333,0.639,0.008,0.001,-0.031,0.006,-0.447,0.883,-50.823,2.325,75.919,-0.528,-0.468,-0.692,34.467,2.136,-34.402,-25.235,0.029,-27.195,-0.081,-0.419,0.89,0.089,-0.457,0.873,,12,beach,Low
