Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-26-00,1.748,0,0.989,0.964,3.631,3.596,0.53,0.497,0.488,0.508,-0.009,0.004,-0.032,0.027,-0.127,0.977,-10.464,1.719,-17.988,0.439,-0.074,-0.805,31.629,4.282,-33.413,-29.301,3.369,-31.517,-0.057,-0.116,0.976,-0.017,-0.116,0.98,,12,room,Low
12-26-01,1.157,0,0.772,0.671,2.711,2.677,0.444,0.451,0.501,0.59,0.01,0.003,-0.028,0.095,-0.248,0.932,-8.699,1.382,-14.862,-0.0,-0.528,-0.319,30.969,3.971,-34.048,-29.732,2.889,-32.04,-0.109,-0.235,0.728,-0.066,-0.242,0.73,,12,room,Low
12-26-02,1.209,0,0.991,0.994,3.389,3.379,0.557,0.499,0.505,0.521,0.009,0.004,-0.033,0.078,-0.17,0.969,-10.437,1.662,-18.1,0.29,-0.587,-0.692,31.106,4.698,-34.356,-29.646,3.291,-31.633,-0.102,-0.164,0.968,-0.048,-0.174,0.971,,12,room,Low
12-26-03,0.591,0,0.992,0.992,3.528,3.634,0.489,0.511,0.425,0.532,0.02,0.004,-0.033,-0.081,-0.238,0.967,-10.435,1.617,-18.394,0.07,-0.564,-0.822,32.256,4.572,-34.054,-28.29,3.005,-30.521,0.063,-0.234,0.969,0.159,-0.252,0.953,,12,room,Low
12-26-04,0.527,0,0.995,0.998,3.541,3.558,0.481,0.489,0.412,0.51,0.007,0.004,-0.033,-0.139,-0.181,0.972,-10.422,1.577,-18.449,0.095,-0.548,-0.83,32.381,4.999,-34.222,-28.118,3.528,-31.303,0.085,-0.179,0.978,0.198,-0.182,0.961,,12,room,Low
12-26-05,1.802,0,0.818,0.791,2.513,2.249,0.493,0.541,0.409,0.507,0.016,0.003,-0.03,-0.003,-0.243,0.942,-9.183,1.479,-15.761,-0.622,-0.385,-0.31,31.87,4.414,-34.705,-28.808,2.79,-31.346,0.01,-0.218,0.762,0.058,-0.201,0.709,,12,room,Low
12-26-06,1.932,0,0.965,0.937,3.061,3.123,0.513,0.546,0.477,0.57,-0.001,0.003,-0.033,0.034,-0.203,0.977,-10.453,1.692,-17.818,-0.779,-0.291,-0.55,32.059,3.54,-34.461,-28.935,1.973,-31.457,-0.04,-0.201,0.977,-0.029,-0.205,0.977,,12,room,Low
12-26-07,2.159,0,0.986,0.986,3.126,3.113,0.536,0.501,0.503,0.515,0.004,0.004,-0.033,0.084,-0.134,0.962,-10.482,1.709,-17.77,-0.956,-0.141,-0.044,31.652,4.454,-34.23,-29.476,3.233,-31.318,-0.088,-0.136,0.962,-0.07,-0.137,0.962,,12,room,Low
12-26-08,2.54,0,0.956,0.946,3.367,3.221,0.573,0.544,0.531,0.564,0.001,0.003,-0.032,0.124,-0.249,0.938,-10.523,1.718,-17.799,-0.654,-0.263,0.422,30.827,3.568,-33.534,-30.061,2.235,-30.719,-0.138,-0.241,0.937,-0.096,-0.246,0.914,,12,room,Low
12-26-09,1.155,0,0.908,0.827,3.503,3.602,0.513,0.58,0.446,0.603,-0.007,0.002,-0.032,-0.08,-0.369,0.922,-10.59,1.668,-17.801,-0.244,-0.761,0.569,31.673,3.277,-34.014,-28.677,1.648,-30.792,0.037,-0.367,0.925,0.105,-0.371,0.919,,12,room,Low
12-26-10,0.585,0,0.944,0.89,3.368,3.48,0.553,0.6,0.466,0.619,-0.001,0.002,-0.033,-0.004,-0.389,0.911,-10.637,1.63,-17.681,-0.211,-0.899,0.253,30.997,2.892,-34.26,-29.027,1.373,-31.125,-0.056,-0.39,0.907,0.058,-0.385,0.911,,12,room,Low
12-26-11,0.531,0,0.947,0.902,2.997,3.174,0.524,0.577,0.436,0.593,0.001,0.003,-0.033,-0.041,-0.37,0.926,-10.584,1.652,-17.666,-0.577,-0.81,0.055,31.661,3.383,-34.14,-28.388,2.005,-31.009,-0.026,-0.367,0.928,0.105,-0.372,0.92,,12,room,Low
