Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-35-23,0.888,1,0.807,0.818,3.249,3.173,0.104,0.416,0.118,0.352,0.024,-0.004,-0.02,-0.143,-0.054,0.984,-39.669,3.195,39.944,-0.023,-0.1,0.993,36.52,-4.872,-24.857,-26.578,-3.565,-21.979,0.143,-0.053,0.812,0.131,-0.034,0.815,,13,walk,High
12-35-24,0.426,1,0.361,0.219,2.513,1.838,0.419,0.832,0.328,0.688,0.01,-0.004,-0.018,-0.0,-0.288,0.941,-35.505,2.826,35.764,0.115,-0.583,0.701,35.331,-6.11,-25.174,-26.975,-5.223,-21.734,-0.037,-0.326,0.705,0.055,-0.189,0.559,,13,walk,High
12-35-25,1.504,1,0.938,0.934,4.442,4.342,0.418,0.675,0.424,0.61,0.006,-0.004,-0.024,0.017,0.018,0.957,-47.933,3.851,48.287,0.38,-0.237,0.759,35.251,-4.083,-25.617,-27.54,-3.317,-21.828,-0.031,0.014,0.955,-0.028,0.027,0.959,,13,walk,High
12-35-26,3.636,1,0.863,0.786,3.527,3.512,0.486,0.697,0.485,0.654,0.006,-0.003,-0.023,0.157,-0.034,0.961,-43.911,3.496,44.229,0.584,-0.489,-0.258,34.086,-3.851,-26.705,-28.617,-3.633,-22.809,-0.155,-0.038,0.837,-0.135,-0.038,0.842,,13,walk,High
12-35-27,1.041,1,0.926,0.717,4.534,4.646,0.472,0.785,0.467,0.728,0.005,-0.005,-0.025,0.146,-0.279,0.945,-47.808,3.771,47.794,0.087,-0.862,-0.487,34.274,-5.103,-26.76,-28.187,-4.614,-22.832,-0.155,-0.293,0.939,-0.135,-0.265,0.951,,13,walk,High
12-35-28,0.999,1,0.909,0.707,4.814,4.846,0.431,0.774,0.432,0.711,0.004,-0.005,-0.025,0.038,-0.257,0.965,-47.662,3.778,47.484,0.009,-0.857,-0.514,34.845,-4.966,-26.729,-27.792,-4.37,-22.751,-0.047,-0.273,0.961,-0.03,-0.243,0.969,,13,walk,High
12-35-29,3.049,1,0.807,0.732,3.825,3.986,0.274,0.578,0.275,0.52,0.006,-0.003,-0.021,-0.04,-0.076,0.971,-40.333,3.217,40.006,0.465,-0.467,-0.082,35.648,-4.255,-26.625,-27.051,-3.521,-22.931,0.036,-0.065,0.784,0.045,-0.062,0.783,,13,walk,High
12-35-30,1.614,1,0.999,0.999,4.434,4.644,0.428,0.674,0.436,0.623,-0.011,-0.003,-0.024,0.016,-0.02,0.995,-47.436,3.872,47.295,0.981,-0.149,-0.01,34.881,-3.632,-26.431,-27.966,-3.125,-23.101,-0.022,-0.026,0.993,-0.021,-0.018,0.995,,13,walk,High
12-35-31,2.36,1,1.0,1.0,4.663,4.839,0.394,0.742,0.41,0.683,-0.003,-0.004,-0.024,-0.025,-0.188,0.981,-47.366,3.881,47.12,0.974,-0.184,0.129,35.569,-4.61,-26.351,-27.486,-3.92,-22.86,0.021,-0.2,0.979,0.027,-0.18,0.983,,13,walk,High
12-35-32,1.397,1,0.839,0.83,3.768,3.824,0.311,0.613,0.322,0.559,-0.004,-0.003,-0.02,0.028,-0.145,0.985,-38.878,3.185,38.721,0.793,-0.175,0.295,35.284,-4.452,-26.054,-27.79,-3.735,-22.904,-0.034,-0.151,0.805,-0.026,-0.14,0.807,,13,walk,High
