Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-09-31,1.66,0,0.941,0.999,3.686,3.718,0.547,0.428,0.529,0.522,0.005,0.004,-0.031,-0.161,0.02,0.958,293.803,1.87,46.706,-0.052,-0.041,0.973,30.043,3.983,-28.22,-31.351,2.826,-33.723,0.151,0.025,0.957,0.152,0.01,0.963,,14,sea,Low
04-09-32,3.173,0,0.814,0.866,3.191,3.158,0.606,0.425,0.474,0.408,-0.005,0.003,-0.029,0.011,0.001,0.996,272.995,1.741,52.477,0.242,-0.044,0.965,29.246,4.15,-28.215,-32.254,2.658,-33.201,-0.02,0.001,0.922,-0.002,0.001,0.886,,14,sea,Low
04-09-33,3.072,0,0.877,0.867,3.562,3.67,0.571,0.435,0.562,0.528,-0.003,0.003,-0.031,-0.069,-0.029,0.994,295.81,1.869,66.98,0.572,-0.129,0.784,29.836,4.23,-28.991,-31.859,2.749,-33.36,0.055,-0.032,0.995,0.074,-0.031,0.994,,14,sea,Low
04-09-34,1.632,0,0.993,1.0,3.322,3.354,0.653,0.412,0.64,0.51,0.01,0.004,-0.029,0.143,0.073,0.956,299.718,1.866,75.824,0.933,-0.008,0.239,28.479,3.974,-27.558,-32.844,2.797,-33.284,-0.144,0.081,0.953,-0.142,0.062,0.958,,14,sea,Low
04-09-35,0.948,0,1.0,1.0,3.221,3.21,0.702,0.423,0.69,0.529,0.008,0.004,-0.03,0.258,0.037,0.931,306.482,1.872,82.304,0.942,-0.01,-0.101,27.756,3.872,-27.846,-33.494,2.905,-34.501,-0.271,0.05,0.927,-0.263,0.016,0.935,,14,sea,Low
04-09-36,1.889,0,0.934,1.0,3.197,3.273,0.523,0.442,0.507,0.53,0.013,0.003,-0.03,-0.209,-0.013,0.955,314.88,1.877,86.987,0.887,-0.017,0.388,30.408,3.707,-28.072,-31.055,2.932,-34.312,0.224,-0.011,0.957,0.205,-0.026,0.963,,14,sea,Low
04-09-37,3.006,0,0.937,1.0,2.915,2.968,0.544,0.442,0.534,0.531,0.003,0.003,-0.031,-0.145,-0.034,0.988,324.631,1.882,90.432,0.809,-0.025,0.587,30.226,3.999,-28.971,-31.488,2.814,-33.815,0.138,-0.034,0.989,0.148,-0.036,0.988,,14,sea,Low
04-09-38,4.335,0,0.954,1.0,3.023,3.086,0.542,0.436,0.53,0.523,0.002,0.003,-0.031,-0.152,0.003,0.975,334.584,1.885,94.172,0.706,0.001,0.69,30.191,3.908,-28.485,-31.401,2.635,-33.116,0.153,-0.0,0.974,0.15,0.007,0.976,,14,sea,Low
04-09-39,4.941,0,1.0,0.996,3.188,3.253,0.6,0.436,0.593,0.53,0.011,0.003,-0.029,0.011,-0.006,1.0,344.937,1.889,99.32,0.746,-0.006,0.666,29.333,3.607,-27.277,-32.328,2.373,-32.581,-0.014,-0.006,1.0,-0.005,-0.01,1.0,,14,sea,Low
04-09-40,3.092,0,1.0,1.0,3.336,3.377,0.61,0.438,0.603,0.533,0.003,0.003,-0.03,0.04,-0.016,0.998,355.04,1.891,105.969,0.71,-0.017,0.703,29.196,3.633,-27.474,-32.481,2.536,-33.208,-0.046,-0.011,0.998,-0.025,-0.024,0.999,,14,sea,Low
