Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-51-25,2.983,0,0.867,0.917,3.878,3.933,0.497,0.704,0.406,0.661,0.01,-0.004,-0.027,-0.221,-0.049,0.963,-46.217,3.829,46.65,0.206,-0.174,0.904,31.795,-3.937,-27.53,-30.558,-3.859,-29.347,0.231,-0.05,0.922,0.204,-0.026,0.896,,14,walk,Low
04-51-26,3.005,0,0.931,0.964,3.71,3.958,0.524,0.706,0.485,0.728,0.026,-0.004,-0.027,-0.158,-0.068,0.985,-48.027,3.97,48.522,-0.006,-0.164,0.986,31.507,-4.17,-27.137,-30.99,-3.907,-29.405,0.157,-0.067,0.985,0.151,-0.064,0.986,,14,walk,Low
04-51-27,1.759,0,0.995,0.999,4.038,4.163,0.517,0.703,0.479,0.726,0.025,-0.004,-0.028,-0.171,-0.082,0.981,-48.024,3.975,48.568,0.001,-0.171,0.985,31.632,-3.915,-27.343,-30.93,-3.728,-29.512,0.172,-0.083,0.981,0.169,-0.076,0.982,,14,walk,Low
04-51-28,2.202,0,0.957,0.966,4.014,4.204,0.525,0.717,0.488,0.747,0.024,-0.004,-0.027,-0.175,-0.128,0.97,-48.05,3.978,48.559,0.035,-0.192,0.969,31.372,-4.05,-27.304,-31.133,-4.203,-28.996,0.175,-0.128,0.971,0.162,-0.123,0.972,,14,walk,Low
04-51-29,3.203,0,0.907,0.817,3.404,3.32,0.57,0.659,0.481,0.626,0.007,-0.004,-0.026,0.082,-0.086,0.976,-44.531,3.708,44.945,0.918,-0.022,0.114,30.049,-4.07,-27.356,-32.27,-4.468,-28.058,-0.037,-0.082,0.845,-0.06,-0.085,0.803,,14,walk,Low
04-51-30,0.859,0,0.939,0.33,4.208,2.303,0.53,0.698,0.434,0.641,0.021,-0.004,-0.028,-0.133,-0.091,0.986,-47.855,3.994,48.432,0.997,0.068,-0.026,31.459,-3.71,-27.182,-30.979,-3.197,-29.337,0.135,-0.098,0.985,0.081,-0.06,0.621,,14,walk,Low
04-51-31,0.589,0,0.824,0.077,4.193,2.999,0.519,0.667,0.473,0.671,0.027,-0.003,-0.027,-0.172,-0.011,0.985,-47.821,3.996,48.525,0.985,0.166,-0.025,31.594,-3.274,-27.192,-30.759,-2.513,-29.702,0.172,-0.01,0.985,0.14,-0.008,0.764,,14,walk,Low
04-51-32,0.976,0,0.767,0.211,4.261,4.362,0.509,0.657,0.469,0.661,0.026,-0.003,-0.027,-0.194,0.02,0.98,-47.876,3.998,48.525,0.952,0.303,-0.022,31.727,-3.087,-27.237,-30.657,-2.599,-29.795,0.198,0.012,0.98,0.176,0.065,0.98,,14,walk,Low
04-51-33,2.418,0,0.921,0.833,4.346,4.369,0.583,0.679,0.548,0.707,0.017,-0.004,-0.028,-0.008,-0.011,0.966,-47.981,3.999,48.505,0.905,0.295,-0.16,30.633,-3.555,-27.313,-31.832,-3.397,-29.4,0.003,-0.009,0.966,0.006,-0.012,0.931,,14,walk,Low
04-51-34,2.671,0,0.976,0.87,4.109,4.349,0.558,0.646,0.509,0.66,0.004,-0.003,-0.028,-0.074,0.101,0.986,-48.105,4.012,48.43,0.883,0.436,-0.044,30.948,-3.325,-27.047,-31.332,-3.014,-29.064,0.077,0.103,0.988,0.088,0.108,0.987,,14,walk,Low
