Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
03-50-42,0.53,0,0.975,0.977,3.906,3.325,0.686,0.394,0.663,0.45,-0.013,0.009,-0.04,0.176,-0.319,0.93,-62.512,1.63,70.5,-0.303,-0.89,0.34,29.143,8.822,-37.514,-34.781,8.747,-41.959,-0.24,-0.287,0.927,-0.13,-0.334,0.932,,2,beach,Low
03-50-43,1.603,0,0.842,0.895,2.911,2.824,0.531,0.266,0.65,0.43,-0.009,0.007,-0.034,0.131,-0.254,0.946,-52.082,1.417,58.719,-0.286,-0.735,0.407,29.335,9.147,-37.478,-34.526,9.106,-42.078,-0.154,-0.238,0.779,-0.111,-0.262,0.821,,2,beach,Low
03-50-44,1.804,0,0.888,0.931,2.962,2.518,0.478,0.208,0.619,0.379,0.002,0.009,-0.035,-0.015,-0.055,0.994,-57.035,1.989,64.504,-0.721,-0.071,-0.463,30.177,9.724,-36.233,-33.912,10.231,-43.938,0.016,-0.049,0.912,0.002,-0.065,0.869,,2,beach,Low
03-50-45,1.296,0,0.403,0.348,3.229,2.931,0.603,0.332,0.595,0.382,0.008,0.01,-0.038,0.01,-0.129,0.986,-62.301,2.462,70.56,-0.675,-0.053,-0.72,30.587,9.631,-36.17,-33.461,9.753,-41.255,-0.01,-0.124,0.986,-0.0,-0.145,0.985,,2,beach,Low
03-50-46,2.12,0,0.526,0.603,3.262,3.128,0.615,0.311,0.609,0.361,0.011,0.01,-0.038,0.054,-0.102,0.993,-62.33,2.469,70.727,-0.607,-0.125,-0.784,30.438,10.07,-36.116,-33.669,9.97,-40.412,-0.058,-0.097,0.993,-0.054,-0.109,0.992,,2,beach,Low
03-50-47,1.419,0,0.081,0.261,3.369,3.228,0.619,0.301,0.615,0.354,-0.011,0.01,-0.038,0.064,-0.122,0.99,-62.305,2.47,70.699,-0.638,-0.125,-0.76,30.353,10.147,-35.108,-33.845,9.966,-39.373,-0.07,-0.109,0.991,-0.06,-0.126,0.99,,2,beach,Low
03-50-48,1.568,0,0.1,0.384,3.304,3.232,0.619,0.295,0.616,0.348,-0.01,0.01,-0.038,0.053,-0.132,0.99,-62.287,2.468,70.692,-0.633,-0.124,-0.764,30.413,10.504,-35.696,-33.889,10.254,-39.857,-0.082,-0.135,0.987,-0.044,-0.134,0.99,,2,beach,Low
03-50-49,3.037,0,0.106,0.494,3.511,3.235,0.614,0.293,0.616,0.345,-0.003,0.01,-0.038,0.05,-0.131,0.99,-64.428,2.464,68.004,-0.625,-0.13,-0.77,30.42,10.365,-34.812,-33.885,10.402,-40.186,-0.054,-0.136,0.989,-0.045,-0.131,0.99,,2,beach,Low
03-50-50,2.155,0,0.622,0.758,3.367,3.185,0.614,0.294,0.606,0.34,-0.006,0.01,-0.039,0.065,-0.063,0.984,-69.627,2.443,61.483,-0.744,-0.315,-0.568,30.511,10.355,-36.121,-33.542,10.368,-40.417,-0.066,-0.054,0.987,-0.063,-0.061,0.984,,2,beach,Low
03-50-51,1.959,0,0.622,0.715,2.737,2.488,0.535,0.238,0.53,0.285,-0.009,0.009,-0.033,0.01,-0.019,0.997,-59.907,2.057,50.189,-0.656,-0.161,-0.317,30.82,10.826,-38.215,-33.376,10.42,-40.851,-0.013,-0.003,0.878,-0.011,-0.019,0.877,,2,beach,Low
