Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-14-42,1.524,0,0.955,0.967,2.307,1.975,0.617,0.469,0.614,0.542,-0.002,0.006,-0.036,0.076,-0.078,0.982,-1.211,1.682,-30.758,0.14,-0.11,0.97,30.61,6.751,-39.57,-34.015,6.245,-44.189,-0.069,-0.078,0.925,-0.071,-0.085,0.92,,2,sea,Low
04-14-43,2.171,0,0.927,0.824,2.683,2.375,0.589,0.526,0.582,0.594,0.003,0.005,-0.041,-0.01,-0.267,0.947,-1.363,1.884,-34.86,0.096,-0.51,0.798,31.12,5.527,-38.686,-33.413,5.361,-43.831,0.012,-0.27,0.948,0.022,-0.279,0.942,,2,sea,Low
04-14-44,1.848,0,0.91,0.917,2.787,2.379,0.573,0.49,0.57,0.551,0.001,0.006,-0.038,-0.073,-0.114,0.964,-1.264,1.731,-32.054,0.0,-0.365,0.856,31.349,6.098,-38.727,-33.272,6.012,-43.831,0.089,-0.12,0.881,0.088,-0.11,0.883,,2,sea,Low
04-14-45,4.741,0,0.998,0.986,3.204,2.687,0.598,0.498,0.599,0.566,0.012,0.006,-0.04,0.001,-0.182,0.981,-1.351,1.889,-34.848,0.239,-0.379,0.89,30.9,5.966,-38.548,-33.831,5.398,-42.425,-0.002,-0.18,0.981,0.007,-0.184,0.98,,2,sea,Low
04-14-46,1.294,0,1.0,1.0,3.155,2.623,0.606,0.493,0.606,0.564,0.008,0.006,-0.04,0.018,-0.182,0.977,-1.356,1.887,-34.849,0.255,-0.401,0.873,30.753,6.023,-38.371,-33.913,5.842,-43.876,-0.019,-0.172,0.98,-0.015,-0.179,0.976,,2,sea,Low
04-14-47,1.238,0,0.877,0.937,2.674,2.257,0.541,0.419,0.54,0.483,0.012,0.006,-0.035,0.018,-0.091,0.992,-1.189,1.659,-30.669,0.24,-0.307,0.903,30.774,6.225,-38.151,-33.915,5.865,-43.027,-0.02,-0.099,0.87,-0.005,-0.093,0.871,,2,sea,Low
04-14-48,2.621,0,0.998,0.994,3.292,2.954,0.595,0.468,0.598,0.538,0.002,0.006,-0.041,-0.013,-0.077,0.996,-1.325,1.879,-34.695,0.27,-0.439,0.855,30.956,6.558,-39.03,-33.782,6.124,-43.511,0.013,-0.07,0.997,0.011,-0.081,0.996,,2,sea,Low
04-14-49,3.408,0,0.998,0.993,3.05,2.685,0.611,0.424,0.608,0.497,0.011,0.007,-0.041,0.027,0.086,0.992,-0.882,1.909,-33.255,0.398,-0.173,0.892,30.647,7.212,-38.883,-33.917,7.027,-44.653,-0.027,0.094,0.992,-0.031,0.086,0.993,,2,sea,Low
04-14-50,3.306,0,0.998,0.997,3.023,2.681,0.603,0.434,0.6,0.507,0.01,0.007,-0.04,0.004,0.043,0.988,0.393,1.912,-30.458,0.372,-0.17,0.893,30.751,6.991,-38.625,-33.781,6.857,-44.483,0.007,0.055,0.986,-0.009,0.034,0.989,,2,sea,Low
04-14-51,1.132,0,1.0,0.999,3.116,2.731,0.581,0.447,0.58,0.52,0.008,0.007,-0.041,-0.066,-0.004,0.985,1.365,1.906,-28.804,0.111,-0.177,0.968,31.141,6.812,-38.637,-33.446,6.613,-44.185,0.073,0.001,0.983,0.054,-0.022,0.986,,2,sea,Low
