Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-05-04,0.676,0,1.0,1.0,3.643,3.235,0.636,0.442,0.638,0.524,0.007,0.007,-0.042,0.032,0.066,0.994,-49.212,3.865,45.064,0.023,-0.087,-0.995,30.02,6.998,-39.67,-34.567,7.166,-47.284,-0.019,0.083,0.994,-0.055,0.039,0.996,,2,walk,Low
04-05-05,0.515,0,0.898,0.879,2.897,2.494,0.521,0.363,0.572,0.498,0.025,0.006,-0.035,0.038,-0.043,0.994,-43.467,3.417,39.98,0.076,-0.149,-0.734,29.734,6.462,-39.74,-34.576,6.406,-46.105,-0.035,-0.044,0.84,-0.008,-0.085,0.835,,2,walk,Low
04-05-06,1.501,0,0.997,1.0,3.751,3.435,0.682,0.486,0.69,0.578,-0.009,0.006,-0.043,0.147,-0.107,0.981,-49.097,3.862,45.159,0.01,-0.052,-0.998,29.135,6.288,-39.372,-35.532,5.972,-46.05,-0.135,-0.096,0.985,-0.165,-0.126,0.977,,2,walk,Low
04-05-07,1.28,0,0.97,0.993,3.785,3.443,0.676,0.496,0.688,0.585,-0.018,0.006,-0.044,0.154,-0.159,0.974,-49.133,3.876,45.124,0.002,-0.032,-0.999,29.258,6.196,-39.424,-35.459,5.926,-46.153,-0.118,-0.156,0.979,-0.169,-0.158,0.971,,2,walk,Low
04-05-08,1.437,0,0.941,0.861,3.657,3.153,0.637,0.509,0.631,0.587,-0.007,0.006,-0.043,0.037,-0.254,0.964,-49.199,3.889,45.093,0.07,-0.094,-0.981,29.974,5.837,-38.164,-34.531,6.076,-45.971,-0.029,-0.254,0.965,-0.016,-0.246,0.964,,2,walk,Low
04-05-09,0.918,0,0.841,0.775,2.933,2.664,0.586,0.439,0.644,0.576,-0.02,0.005,-0.04,0.056,-0.176,0.976,-43.717,3.461,40.078,0.039,0.017,-0.766,29.753,5.926,-37.866,-34.82,6.283,-46.143,-0.045,-0.155,0.835,-0.044,-0.18,0.863,,2,walk,Low
04-05-10,1.347,0,0.915,0.777,3.615,3.145,0.649,0.509,0.66,0.597,-0.001,0.006,-0.042,0.07,-0.245,0.966,-49.224,3.905,45.056,0.022,0.138,-0.99,29.746,5.715,-37.939,-35.068,5.882,-46.05,-0.06,-0.242,0.967,-0.074,-0.255,0.963,,2,walk,Low
04-05-11,0.937,0,0.824,0.679,3.615,3.147,0.609,0.514,0.593,0.59,-0.003,0.006,-0.042,-0.093,-0.292,0.943,-49.256,3.901,45.051,0.179,0.055,-0.968,30.469,5.957,-38.589,-34.012,6.085,-45.929,0.06,-0.305,0.937,0.133,-0.276,0.944,,2,walk,Low
04-05-12,1.35,0,0.904,0.892,3.26,2.55,0.512,0.372,0.582,0.509,0.008,0.005,-0.035,0.037,-0.179,0.979,-43.338,3.442,39.656,0.036,0.269,-0.713,29.858,5.815,-36.97,-34.814,6.162,-45.655,-0.045,-0.181,0.858,-0.055,-0.158,0.859,,2,walk,Low
04-05-13,1.265,0,0.998,0.994,3.871,3.212,0.665,0.483,0.674,0.57,-0.005,0.006,-0.041,0.139,-0.176,0.973,-49.247,3.914,45.054,0.015,0.412,-0.91,29.452,5.829,-36.41,-35.209,6.188,-45.628,-0.119,-0.175,0.976,-0.146,-0.176,0.972,,2,walk,Low
