Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-57-28,3.889,4,1.0,0.987,2.663,2.509,0.728,0.316,0.545,0.419,-0.0,0.005,-0.025,0.043,-0.009,0.998,475.026,1.918,551.536,-0.995,0.005,-0.097,25.706,6.707,-24.171,-31.004,3.963,-25.771,-0.047,-0.011,0.998,-0.04,-0.009,0.998,,3,sea,High
04-57-29,2.389,4,0.718,0.556,1.192,1.155,0.45,0.086,0.398,0.275,-0.011,0.003,-0.016,0.056,0.001,0.997,285.488,1.19,341.726,-0.618,0.007,0.324,25.557,7.608,-27.628,-31.236,4.192,-26.721,-0.055,-0.001,0.618,-0.055,0.001,0.618,,3,sea,High
04-57-30,3.573,4,0.797,0.692,1.622,1.527,0.57,0.173,0.56,0.42,-0.005,0.004,-0.019,0.051,0.023,0.997,338.019,1.454,416.738,-0.753,0.009,0.156,25.33,6.939,-24.871,-31.265,4.426,-27.659,-0.053,0.024,0.721,-0.046,0.02,0.722,,3,sea,High
04-57-31,1.289,4,0.923,0.807,2.471,2.288,0.736,0.3,0.552,0.407,0.003,0.005,-0.023,0.045,0.061,0.997,399.762,1.789,511.054,-0.93,0.031,0.021,25.5,6.606,-23.418,-31.22,4.239,-26.545,-0.052,0.068,0.929,-0.032,0.053,0.931,,3,sea,High
04-57-32,2.706,4,0.903,0.807,2.245,2.117,0.703,0.308,0.521,0.41,0.008,0.005,-0.021,-0.022,0.044,0.998,356.233,1.652,471.075,-0.861,0.013,0.114,26.101,6.607,-23.687,-30.71,4.441,-27.349,0.016,0.044,0.86,0.036,0.038,0.86,,3,sea,High
04-57-33,1.872,4,1.0,0.995,2.631,2.518,0.724,0.309,0.545,0.413,0.001,0.006,-0.025,0.018,0.032,0.999,396.872,1.919,546.186,-0.998,0.008,0.044,25.721,6.795,-24.513,-31.114,3.925,-25.882,-0.021,0.026,0.999,-0.018,0.042,0.998,,3,sea,High
04-57-34,1.301,4,1.0,1.0,2.583,2.46,0.723,0.306,0.542,0.412,-0.006,0.005,-0.025,0.017,0.045,0.998,380.571,1.919,546.529,-0.995,0.019,0.089,25.739,6.718,-24.047,-31.048,3.774,-25.363,-0.026,0.04,0.998,-0.014,0.053,0.998,,3,sea,High
04-57-35,1.665,4,1.0,1.0,2.508,2.39,0.705,0.305,0.526,0.409,-0.005,0.005,-0.025,-0.023,0.051,0.997,364.183,1.917,547.55,-0.988,0.009,0.154,26.059,6.574,-23.483,-30.786,4.0,-25.888,0.013,0.052,0.997,0.035,0.05,0.997,,3,sea,High
04-57-36,1.344,4,1.0,1.0,2.613,2.489,0.68,0.308,0.503,0.411,-0.004,0.005,-0.025,-0.085,0.051,0.993,347.596,1.919,549.916,-0.996,0.004,0.07,26.475,6.444,-23.37,-30.376,4.123,-26.413,0.074,0.058,0.993,0.092,0.044,0.992,,3,sea,High
04-57-37,1.067,4,1.0,1.0,2.626,2.5,0.67,0.307,0.494,0.409,0.002,0.005,-0.025,-0.102,0.053,0.992,330.881,1.914,552.948,-0.985,-0.005,0.169,26.677,6.448,-23.259,-30.209,4.249,-26.613,0.091,0.064,0.992,0.117,0.038,0.991,,3,sea,High
04-57-38,0.779,4,1.0,1.0,2.533,2.423,0.639,0.303,0.465,0.403,0.004,0.006,-0.025,-0.178,0.079,0.98,314.801,1.916,557.174,-0.995,-0.002,0.065,27.244,6.399,-23.152,-29.682,4.351,-26.723,0.169,0.094,0.981,0.188,0.06,0.98,,3,sea,High
04-57-39,1.821,4,1.0,0.951,2.494,2.333,0.743,0.293,0.561,0.402,-0.006,0.005,-0.025,0.06,0.069,0.992,298.913,1.918,561.182,-0.994,0.008,-0.045,25.326,6.832,-23.573,-31.418,4.238,-26.255,-0.056,0.069,0.993,-0.053,0.068,0.993,,3,sea,High
04-57-40,0.999,4,0.524,0.408,0.261,0.223,-0.077,-0.307,0.054,-0.03,-0.004,0.002,-0.01,0.005,0.032,0.998,112.358,0.751,220.901,-0.391,0.01,0.581,25.985,7.31,-25.606,-30.796,4.132,-26.841,-0.007,0.023,0.356,0.003,0.03,0.356,,3,sea,High
04-57-41,1.562,4,0.854,0.75,1.542,1.481,0.592,0.253,0.429,0.346,0.009,0.004,-0.019,0.016,-0.007,0.999,195.282,1.412,411.923,-0.726,-0.003,0.171,26.331,6.309,-25.56,-30.749,3.85,-27.879,-0.015,-0.006,0.699,-0.001,-0.01,0.699,,3,sea,High
04-57-42,1.647,4,1.0,0.946,2.639,2.52,0.696,0.333,0.523,0.434,-0.006,0.005,-0.026,-0.022,-0.021,0.999,252.755,1.913,559.427,-0.995,-0.033,-0.035,26.35,6.316,-24.41,-30.679,3.731,-26.509,0.009,-0.02,0.999,0.032,-0.018,0.998,,3,sea,High
04-57-43,1.759,4,0.869,0.844,1.907,1.831,0.632,0.267,0.457,0.368,-0.001,0.005,-0.021,-0.033,0.036,0.998,205.803,1.648,480.663,-0.856,0.015,0.231,26.502,6.7,-24.032,-30.402,4.136,-27.036,0.025,0.035,0.826,0.038,0.033,0.825,,3,sea,High
04-57-44,0.435,4,1.0,1.0,2.617,2.507,0.64,0.302,0.466,0.407,0.001,0.006,-0.026,-0.155,0.069,0.985,222.651,1.91,557.848,-0.994,0.021,0.092,27.327,6.625,-23.948,-29.598,4.443,-27.368,0.152,0.086,0.984,0.164,0.05,0.985,,3,sea,High
04-57-45,0.511,4,1.0,1.0,2.714,2.591,0.628,0.294,0.454,0.399,0.004,0.006,-0.025,-0.194,0.101,0.972,207.035,1.917,560.348,-0.995,0.045,0.0,27.472,6.65,-23.518,-29.4,4.374,-26.71,0.19,0.114,0.971,0.197,0.082,0.973,,3,sea,High
04-57-46,2.065,4,1.0,1.0,2.665,2.533,0.706,0.302,0.53,0.413,0.003,0.006,-0.025,-0.008,0.059,0.997,191.54,1.922,563.709,-0.996,0.013,0.076,26.092,6.772,-24.146,-30.797,3.897,-25.985,0.004,0.056,0.997,0.012,0.055,0.997,,3,sea,High
04-57-47,1.639,4,1.0,1.0,2.781,2.609,0.7,0.309,0.525,0.418,0.004,0.005,-0.024,-0.016,0.039,0.999,175.686,1.92,566.698,-0.992,-0.015,-0.059,26.196,6.569,-23.652,-30.726,3.743,-25.682,0.011,0.035,0.999,0.025,0.037,0.999,,3,sea,High
04-57-48,2.332,4,1.0,0.964,2.708,2.606,0.755,0.32,0.572,0.433,-0.019,0.004,-0.025,0.111,-0.007,0.993,160.053,1.913,567.758,-0.994,-0.047,-0.074,25.121,6.405,-23.674,-31.477,3.583,-25.876,-0.095,-0.0,0.995,-0.113,-0.007,0.993,,3,sea,High
04-57-49,4.355,4,1.0,0.961,2.56,2.493,0.737,0.325,0.556,0.435,-0.002,0.005,-0.025,0.06,-0.014,0.998,145.005,1.915,566.879,-0.989,-0.066,-0.125,25.478,6.338,-23.758,-31.257,3.518,-25.756,-0.064,-0.013,0.998,-0.062,-0.015,0.998,,3,sea,High
04-57-50,1.986,4,1.0,0.926,2.404,2.283,0.803,0.287,0.606,0.406,-0.007,0.005,-0.025,0.196,0.075,0.974,130.068,1.896,565.633,-0.882,-0.008,0.413,24.311,6.895,-23.787,-32.077,4.099,-26.144,-0.186,0.08,0.976,-0.202,0.074,0.971,,3,sea,High
04-57-51,1.876,4,1.0,0.999,2.326,2.22,0.715,0.291,0.53,0.4,-0.008,0.005,-0.025,0.001,0.077,0.994,115.461,1.897,568.199,-0.756,0.025,0.653,25.923,6.933,-23.886,-30.808,4.12,-25.765,-0.01,0.073,0.995,0.013,0.075,0.993,,3,sea,High
04-57-52,1.66,4,1.0,0.984,2.351,2.287,0.652,0.31,0.478,0.413,0.003,0.005,-0.025,-0.142,0.041,0.987,103.182,1.901,575.755,-0.792,0.025,0.601,27.031,6.48,-23.51,-29.871,4.096,-26.322,0.133,0.047,0.988,0.147,0.03,0.986,,3,sea,High
04-57-53,1.866,4,0.987,0.896,2.534,2.414,0.72,0.306,0.538,0.416,0.002,0.006,-0.025,0.024,0.026,0.993,92.444,1.906,585.432,-0.762,0.014,0.638,25.824,6.752,-24.014,-30.953,4.051,-26.359,-0.024,0.028,0.992,-0.01,0.024,0.992,,3,sea,High
04-57-54,0.958,4,1.0,1.0,2.684,2.571,0.65,0.302,0.476,0.407,-0.007,0.005,-0.025,-0.141,0.055,0.988,82.094,1.909,595.447,-0.769,0.02,0.638,27.12,6.615,-23.643,-29.846,4.213,-26.397,0.129,0.074,0.989,0.151,0.045,0.987,,3,sea,High
04-57-55,1.026,4,1.0,0.995,2.672,2.5,0.675,0.308,0.502,0.415,-0.002,0.005,-0.025,-0.086,0.03,0.995,72.416,1.916,606.789,-0.807,-0.011,0.59,26.637,6.543,-23.382,-30.34,4.102,-26.377,0.074,0.042,0.995,0.092,0.015,0.995,,3,sea,High
04-57-56,1.36,4,0.907,0.876,2.26,2.115,0.576,0.213,0.414,0.313,-0.004,0.005,-0.024,-0.02,0.016,0.999,57.91,1.776,571.555,-0.798,-0.022,0.541,26.053,6.759,-24.562,-30.831,4.044,-26.3,0.011,0.019,0.888,0.031,0.018,0.888,,3,sea,High
04-57-57,1.542,4,0.897,0.811,1.937,1.853,0.613,0.207,0.498,0.361,-0.0,0.005,-0.021,0.047,0.036,0.996,40.613,1.572,515.83,-0.713,0.013,0.584,25.466,6.92,-24.742,-31.271,4.228,-26.857,-0.053,0.035,0.818,-0.039,0.039,0.818,,3,sea,High
