Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
03-57-28,0.58,0,0.708,0.73,4.628,3.889,0.3,0.677,0.346,0.646,0.003,-0.004,-0.029,0.072,-0.294,0.949,0.99,0.878,-16.421,-0.142,-0.921,0.154,35.86,-5.091,-31.556,-29.359,-3.285,-29.611,-0.093,-0.31,0.846,-0.042,-0.244,0.806,,4,room,Low
03-57-29,0.957,0,0.36,0.69,3.817,3.828,0.165,0.554,0.272,0.599,-0.003,-0.004,-0.027,-0.01,-0.264,0.95,0.92,0.936,-15.281,-0.104,-0.849,0.131,36.275,-5.768,-31.846,-29.025,-3.723,-29.725,-0.003,-0.264,0.719,0.015,-0.233,0.797,,4,room,Low
03-57-30,0.471,0,0.744,0.96,2.299,4.863,-0.27,-0.007,0.427,0.79,-0.024,-0.004,-0.03,0.038,-0.332,0.942,1.079,1.029,-17.544,-0.159,-0.986,0.03,36.075,-6.415,-31.942,-29.236,-4.065,-29.676,-0.031,-0.208,0.47,-0.03,-0.325,0.944,,4,room,Low
03-57-31,0.316,0,0.698,0.971,2.346,4.807,-0.241,0.026,0.437,0.798,-0.026,-0.004,-0.03,0.057,-0.337,0.94,1.072,0.922,-17.532,-0.162,-0.985,0.064,35.929,-6.397,-31.924,-29.402,-4.215,-29.748,-0.053,-0.223,0.479,-0.054,-0.331,0.942,,4,room,Low
03-57-32,0.471,0,0.741,0.98,2.41,4.787,-0.21,0.05,0.446,0.803,-0.019,-0.005,-0.03,0.08,-0.338,0.937,1.095,0.934,-17.559,-0.172,-0.977,0.121,35.716,-6.508,-31.965,-29.597,-4.381,-29.794,-0.078,-0.217,0.493,-0.068,-0.322,0.943,,4,room,Low
03-57-33,0.57,0,0.464,0.945,3.395,4.742,-0.023,0.374,0.366,0.796,-0.015,-0.005,-0.03,-0.063,-0.274,0.951,1.273,1.022,-17.641,0.065,-0.979,-0.133,36.923,-6.676,-32.033,-28.088,-4.584,-29.617,-0.003,-0.227,0.672,0.078,-0.252,0.958,,4,room,Low
03-57-34,0.317,0,0.531,0.984,0.098,4.719,-0.758,-0.668,0.399,0.8,-0.028,-0.005,-0.029,0.013,-0.241,0.97,1.394,0.94,-17.667,-0.014,-0.988,-0.15,36.755,-7.159,-32.11,-28.552,-4.885,-29.397,-0.016,-0.05,0.164,-0.013,-0.238,0.971,,4,room,Low
03-57-35,0.354,0,0.811,0.997,3.078,4.85,-0.051,0.202,0.453,0.771,-0.01,-0.006,-0.029,0.159,-0.177,0.96,1.373,1.054,-17.673,-0.313,-0.919,-0.18,35.784,-6.763,-31.205,-29.373,-5.191,-27.24,-0.157,-0.119,0.609,-0.148,-0.152,0.966,,4,room,Low
03-57-36,0.47,0,0.989,1.0,4.622,4.875,0.299,0.713,0.445,0.783,0.004,-0.006,-0.03,0.086,-0.297,0.949,1.276,0.998,-17.716,-0.303,-0.937,-0.162,35.709,-6.512,-31.034,-29.552,-4.816,-28.005,-0.113,-0.306,0.834,-0.065,-0.251,0.964,,4,room,Low
03-57-37,0.309,0,0.82,1.0,2.531,5.059,-0.227,0.028,0.457,0.808,-0.021,-0.005,-0.029,0.1,-0.37,0.923,1.273,0.909,-17.704,-0.292,-0.933,-0.21,35.677,-6.669,-31.088,-29.742,-4.851,-28.221,-0.082,-0.223,0.476,-0.096,-0.357,0.929,,4,room,Low
03-57-38,0.479,0,0.993,1.0,3.8,5.071,0.059,0.407,0.456,0.79,-0.018,-0.005,-0.029,0.098,-0.328,0.938,1.268,0.908,-17.689,-0.332,-0.915,-0.225,35.626,-6.456,-31.04,-29.75,-4.572,-28.337,-0.098,-0.303,0.659,-0.087,-0.311,0.945,,4,room,Low
03-57-39,0.235,0,1.0,1.0,4.634,4.923,0.258,0.663,0.457,0.788,-0.018,-0.005,-0.029,0.086,-0.342,0.935,1.272,0.91,-17.687,-0.334,-0.92,-0.203,35.491,-6.349,-31.093,-29.811,-4.418,-28.539,-0.117,-0.374,0.771,-0.079,-0.32,0.944,,4,room,Low
03-57-40,0.499,0,0.331,0.99,2.068,4.644,-0.343,-0.07,0.373,0.806,-0.024,-0.005,-0.029,-0.107,-0.323,0.934,1.299,0.91,-17.671,-0.05,-0.948,-0.269,36.72,-6.878,-31.361,-28.429,-4.749,-28.924,0.024,-0.153,0.453,0.113,-0.321,0.934,,4,room,Low
03-57-41,0.366,0,0.504,0.98,2.637,4.671,-0.182,0.15,0.373,0.8,-0.008,-0.005,-0.03,-0.064,-0.307,0.946,1.329,0.896,-17.7,0.064,-0.977,-0.173,36.883,-6.995,-31.365,-28.269,-4.635,-29.535,0.021,-0.183,0.57,0.075,-0.27,0.955,,4,room,Low
03-57-42,0.152,0,0.207,0.874,0.571,4.402,-0.666,-0.533,0.278,0.698,-0.023,-0.005,-0.028,-0.062,-0.284,0.95,1.314,1.217,-16.451,0.028,-0.904,-0.105,36.866,-7.353,-31.477,-28.258,-4.919,-29.829,-0.002,-0.08,0.226,0.065,-0.283,0.882,,4,room,Low
03-57-43,2.767,0,0.756,0.905,4.704,4.104,0.308,0.677,0.287,0.523,0.005,-0.002,-0.028,-0.059,-0.009,0.979,1.361,1.707,-16.311,0.898,-0.188,-0.06,37.201,-3.572,-31.459,-28.009,-1.432,-28.561,0.063,-0.015,0.913,0.053,-0.016,0.919,,4,room,Low
03-57-44,1.693,0,1.0,1.0,4.656,4.28,0.418,0.694,0.417,0.603,0.019,-0.002,-0.03,0.086,-0.042,0.995,1.415,1.834,-17.327,0.983,-0.17,-0.071,36.398,-2.591,-31.465,-28.616,-0.75,-27.768,-0.086,-0.036,0.995,-0.082,-0.057,0.994,,4,room,Low
03-57-45,1.925,0,0.952,0.966,4.929,4.384,0.391,0.682,0.392,0.583,-0.022,-0.001,-0.029,0.028,0.009,0.999,1.363,1.824,-17.299,0.978,-0.196,-0.076,36.864,-2.593,-31.243,-28.15,-0.314,-28.289,-0.031,0.025,0.969,-0.027,0.007,0.969,,4,room,Low
03-57-46,0.751,0,0.693,0.804,4.615,4.101,0.339,0.692,0.386,0.623,-0.002,-0.002,-0.025,-0.007,-0.111,0.978,1.183,1.568,-15.079,0.742,-0.396,0.025,36.893,-3.935,-29.953,-27.745,-1.25,-28.15,0.005,-0.113,0.876,0.021,-0.11,0.883,,4,room,Low
03-57-47,2.93,0,1.0,1.0,4.983,4.508,0.385,0.685,0.383,0.584,-0.01,-0.001,-0.029,0.015,0.025,0.999,1.365,1.822,-17.298,0.981,-0.182,-0.062,37.036,-2.849,-30.781,-27.946,-0.583,-27.762,-0.028,0.025,0.999,-0.012,0.021,0.999,,4,room,Low
03-57-48,0.996,0,1.0,1.0,4.869,4.378,0.399,0.689,0.4,0.589,-0.002,-0.001,-0.03,0.06,-0.032,0.997,2.014,1.825,-17.358,0.975,-0.214,-0.063,36.817,-2.557,-31.427,-28.294,-0.015,-29.151,-0.069,-0.015,0.997,-0.053,-0.046,0.997,,4,room,Low
03-57-49,2.472,0,1.0,1.0,4.785,4.326,0.426,0.725,0.42,0.62,-0.017,-0.001,-0.029,0.12,-0.15,0.979,8.472,1.816,-17.746,0.888,-0.413,-0.163,36.435,-3.069,-30.773,-28.556,-0.464,-28.826,-0.14,-0.148,0.976,-0.12,-0.154,0.979,,4,room,Low
03-57-50,2.239,0,0.743,0.883,5.112,4.64,0.363,0.759,0.362,0.639,0.003,-0.002,-0.029,-0.036,-0.193,0.969,8.829,1.816,-17.738,0.889,-0.428,0.014,37.209,-3.926,-30.066,-27.591,-1.014,-28.286,0.045,-0.193,0.968,0.03,-0.184,0.972,,4,room,Low
03-57-51,1.112,0,0.902,0.922,5.029,4.665,0.397,0.767,0.38,0.658,-0.01,-0.002,-0.029,-0.0,-0.24,0.97,10.895,1.799,-17.662,0.807,-0.586,0.042,36.689,-3.663,-30.875,-28.07,-1.093,-28.903,-0.042,-0.242,0.968,0.017,-0.243,0.969,,4,room,Low
03-57-52,0.96,0,1.0,1.0,5.263,4.772,0.437,0.797,0.421,0.695,0.0,-0.003,-0.03,0.091,-0.328,0.939,11.084,1.785,-17.618,0.699,-0.706,0.089,35.959,-3.822,-31.332,-28.87,-1.53,-29.436,-0.123,-0.328,0.936,-0.06,-0.325,0.943,,4,room,Low
03-57-53,0.796,0,0.826,0.838,4.217,3.58,0.373,0.731,0.32,0.586,0.0,-0.002,-0.026,0.098,-0.249,0.954,9.436,1.498,-14.934,0.558,-0.616,0.298,36.378,-3.982,-31.462,-28.467,-1.595,-29.537,-0.121,-0.268,0.788,-0.073,-0.233,0.773,,4,room,Low
03-57-54,1.288,0,0.402,0.638,3.486,2.909,0.091,0.448,0.096,0.353,-0.002,-0.001,-0.021,-0.122,-0.001,0.978,7.747,1.284,-12.549,-0.46,-0.192,0.577,37.812,-3.584,-31.1,-27.012,-1.108,-28.931,0.137,-0.008,0.714,0.126,0.004,0.689,,4,room,Low
03-57-55,0.868,0,1.0,1.0,4.391,3.938,0.408,0.676,0.408,0.581,-0.001,-0.001,-0.03,0.066,-0.019,0.997,10.947,1.835,-17.587,-0.977,-0.185,0.102,36.634,-2.076,-32.033,-28.464,0.138,-29.185,-0.076,-0.005,0.997,-0.063,-0.033,0.997,,4,room,Low
03-57-56,0.639,0,0.974,0.965,4.796,4.328,0.395,0.704,0.394,0.605,-0.008,-0.001,-0.03,0.045,-0.107,0.991,4.635,1.824,-17.089,-0.927,-0.358,0.029,36.844,-2.703,-31.235,-28.168,-0.211,-28.8,-0.051,-0.081,0.994,-0.041,-0.119,0.99,,4,room,Low
