Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
03-55-20,4.376,0,0.704,0.613,3.358,3.17,0.258,0.468,0.366,0.54,0.006,-0.001,-0.021,0.02,-0.16,0.981,0.173,1.312,-7.946,-0.096,-0.13,-0.398,35.359,-1.367,-30.564,-29.565,-1.309,-27.712,-0.024,-0.169,0.721,-0.021,-0.172,0.72,,4,room,Low
03-55-21,3.392,0,0.882,0.858,4.566,3.896,0.327,0.529,0.366,0.555,-0.014,-0.001,-0.027,-0.04,-0.058,0.993,0.25,1.726,-10.542,-0.118,-0.146,-0.852,35.839,-1.006,-30.241,-29.107,-0.59,-27.771,0.035,-0.053,0.931,0.041,-0.047,0.869,,4,room,Low
03-55-22,2.244,0,0.897,0.873,4.874,4.502,0.436,0.688,0.409,0.654,-0.01,-0.001,-0.028,-0.034,-0.229,0.937,0.254,1.836,-11.222,-0.086,-0.326,-0.9,35.532,-1.776,-29.753,-29.099,-1.241,-27.817,-0.015,-0.234,0.935,0.065,-0.239,0.934,,4,room,Low
03-55-23,1.719,0,0.589,0.595,1.797,1.666,0.173,0.334,0.134,0.238,-0.002,-0.001,-0.016,-0.03,0.125,0.978,0.144,1.092,-6.398,-0.041,0.465,0.15,35.67,-2.298,-29.104,-29.038,-1.198,-27.311,0.033,0.127,0.497,0.032,0.128,0.497,,4,room,Low
03-55-24,0.429,0,0.811,0.744,3.728,3.492,0.453,0.726,0.402,0.693,-0.003,-0.001,-0.025,-0.021,-0.289,0.948,0.218,1.599,-9.721,-0.081,-0.297,-0.683,35.344,-1.854,-31.489,-29.015,-1.843,-28.324,-0.06,-0.288,0.852,0.074,-0.28,0.82,,4,room,Low
03-55-25,0.53,0,0.974,0.883,4.659,4.394,0.426,0.689,0.393,0.655,-0.005,-0.001,-0.029,-0.056,-0.22,0.972,0.253,1.83,-11.167,-0.099,-0.306,-0.946,35.847,-1.783,-30.439,-28.803,-1.334,-28.112,-0.021,-0.217,0.975,0.098,-0.226,0.968,,4,room,Low
03-55-26,2.685,0,0.847,0.774,3.645,3.809,0.373,0.596,0.323,0.516,-0.003,-0.001,-0.027,-0.029,-0.069,0.971,0.232,1.693,-10.171,-0.114,0.079,-0.693,36.01,-0.61,-32.186,-28.982,-0.599,-28.305,0.007,-0.061,0.795,0.047,-0.059,0.881,,4,room,Low
03-55-27,1.045,0,0.678,0.649,2.168,2.115,0.283,0.556,0.187,0.418,-0.0,-0.001,-0.02,-0.044,0.023,0.974,0.171,1.252,-7.411,-0.019,0.369,-0.052,36.067,-2.095,-33.269,-28.839,-2.346,-28.329,0.026,0.034,0.618,0.047,0.01,0.607,,4,room,Low
03-55-28,1.519,0,0.442,0.371,1.666,3.736,0.242,0.403,0.45,0.604,-0.003,-0.0,-0.028,0.048,-0.065,0.993,0.247,1.659,-10.145,-0.047,-0.099,-0.804,35.74,-1.639,-31.635,-29.777,-0.294,-29.462,-0.024,-0.06,0.495,-0.041,-0.063,0.9,,4,room,Low
03-55-29,1.874,0,0.407,0.576,1.69,4.499,0.376,0.603,0.49,0.6,-0.012,0.0,-0.031,0.125,-0.092,0.986,0.284,1.832,-11.215,-0.064,-0.108,-0.992,35.849,-1.625,-31.796,-30.557,0.086,-29.802,-0.04,-0.056,0.449,-0.122,-0.09,0.986,,4,room,Low
03-55-30,1.202,0,0.822,0.744,4.933,4.676,0.43,0.707,0.399,0.665,-0.002,-0.001,-0.029,-0.028,-0.284,0.932,0.244,1.833,-11.23,-0.051,-0.381,-0.886,35.641,-1.59,-31.031,-28.851,-1.311,-28.004,-0.009,-0.298,0.927,0.075,-0.277,0.932,,4,room,Low
03-55-31,1.743,0,0.977,0.942,4.889,4.653,0.442,0.648,0.425,0.61,0.002,-0.001,-0.029,0.019,-0.126,0.982,0.261,1.836,-11.197,-0.084,-0.183,-0.968,35.507,-0.993,-30.729,-29.244,-0.734,-27.559,-0.045,-0.127,0.981,0.004,-0.113,0.984,,4,room,Low
