Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-34-39,2.205,0,1.0,1.0,3.95,3.797,0.616,0.33,0.56,0.395,-0.001,0.004,-0.023,0.095,0.199,0.968,-11.531,1.548,-18.809,-0.89,-0.169,0.397,29.001,4.782,-21.541,-30.969,3.259,-23.839,-0.091,0.197,0.97,-0.104,0.203,0.967,,7,room,Low
12-34-40,2.974,0,1.0,1.0,3.946,3.805,0.663,0.372,0.604,0.446,-0.012,0.003,-0.022,0.225,0.06,0.962,-11.501,1.571,-18.807,-0.064,-0.119,0.896,28.207,3.955,-20.475,-31.75,2.31,-23.13,-0.224,0.065,0.962,-0.219,0.055,0.963,,7,room,Low
12-34-41,2.397,0,1.0,1.0,4.04,3.917,0.64,0.374,0.585,0.448,0.005,0.003,-0.021,0.167,0.039,0.982,-11.432,1.584,-18.793,0.811,-0.05,0.548,28.584,3.862,-19.971,-31.43,2.267,-22.847,-0.169,0.043,0.982,-0.17,0.032,0.982,,7,room,Low
12-34-42,2.968,0,1.0,1.0,3.924,3.778,0.645,0.39,0.587,0.465,-0.001,0.003,-0.021,0.174,-0.023,0.982,-11.483,1.587,-18.781,0.983,-0.063,0.158,28.483,3.643,-19.749,-31.481,2.045,-22.827,-0.178,-0.021,0.982,-0.174,-0.027,0.982,,7,room,Low
12-34-43,5.656,0,1.0,1.0,3.886,3.77,0.635,0.398,0.58,0.474,-0.003,0.003,-0.021,0.146,-0.06,0.987,-11.49,1.589,-18.776,0.989,-0.064,0.129,28.6,3.58,-19.767,-31.401,1.885,-22.669,-0.145,-0.059,0.987,-0.148,-0.063,0.986,,7,room,Low
12-34-44,3.982,0,0.99,0.985,3.8,3.625,0.648,0.418,0.591,0.496,-0.002,0.002,-0.021,0.175,-0.137,0.975,-11.485,1.591,-18.775,0.985,-0.115,0.132,28.338,3.318,-19.556,-31.579,1.64,-22.752,-0.174,-0.134,0.976,-0.175,-0.14,0.974,,7,room,Low
12-34-45,1.881,0,0.967,0.937,3.662,3.529,0.648,0.42,0.59,0.499,-0.002,0.003,-0.021,0.177,-0.153,0.972,-11.479,1.593,-18.773,0.986,-0.107,0.129,28.362,3.355,-19.579,-31.548,1.654,-22.694,-0.175,-0.148,0.973,-0.179,-0.159,0.971,,7,room,Low
12-34-46,4.016,0,0.965,0.963,3.681,3.589,0.629,0.409,0.569,0.487,-0.001,0.003,-0.021,0.121,-0.123,0.981,-6.758,1.679,-18.064,0.97,-0.076,0.211,28.664,3.586,-19.849,-31.219,1.854,-22.812,-0.119,-0.119,0.982,-0.116,-0.123,0.982,,7,room,Low
12-34-47,4.908,0,0.988,1.0,3.79,3.678,0.547,0.364,0.484,0.437,-0.012,0.003,-0.022,-0.124,0.046,0.985,0.137,1.786,-17.015,0.683,-0.111,0.694,30.011,4.258,-20.605,-29.872,2.554,-23.132,0.115,0.051,0.986,0.124,0.05,0.985,,7,room,Low
12-34-48,3.335,0,1.0,1.0,4.009,3.929,0.499,0.355,0.44,0.425,-0.008,0.003,-0.022,-0.233,0.09,0.961,0.128,1.786,-17.028,-0.28,-0.111,0.861,30.884,4.46,-21.172,-29.132,2.797,-23.244,0.234,0.092,0.961,0.244,0.088,0.958,,7,room,Low
12-34-49,2.911,0,0.977,0.99,4.1,3.98,0.614,0.349,0.56,0.425,-0.012,0.003,-0.022,0.062,0.097,0.953,0.174,1.785,-17.035,-0.394,-0.068,0.664,28.913,4.437,-20.448,-31.113,2.758,-23.208,-0.061,0.103,0.953,-0.073,0.094,0.95,,7,room,Low
12-34-50,2.803,0,1.0,1.0,4.021,3.766,0.596,0.361,0.542,0.436,0.001,0.003,-0.021,0.064,0.052,0.992,0.216,1.793,-17.036,0.91,-0.038,0.334,29.36,4.18,-19.879,-30.702,2.442,-22.462,-0.052,0.054,0.992,-0.057,0.045,0.993,,7,room,Low
12-34-51,2.413,0,1.0,1.0,4.017,3.878,0.605,0.391,0.549,0.467,-0.01,0.003,-0.022,0.059,-0.057,0.99,0.219,1.793,-17.053,0.942,-0.106,-0.246,29.089,3.962,-20.566,-30.899,2.231,-23.184,-0.053,-0.053,0.99,-0.061,-0.06,0.99,,7,room,Low
12-34-52,3.575,0,0.984,0.999,4.051,3.924,0.577,0.405,0.518,0.478,0.001,0.003,-0.022,-0.024,-0.07,0.987,0.167,1.792,-17.096,0.689,-0.093,-0.697,29.567,3.739,-21.091,-30.437,2.016,-23.268,0.023,-0.07,0.987,0.033,-0.078,0.985,,7,room,Low
12-34-53,2.601,0,0.96,0.992,4.101,3.942,0.536,0.398,0.477,0.47,0.003,0.003,-0.022,-0.147,-0.072,0.975,0.196,1.797,-17.089,0.958,-0.109,-0.154,30.216,3.986,-21.21,-29.756,2.225,-23.26,0.143,-0.066,0.976,0.148,-0.07,0.974,,7,room,Low
12-34-54,4.543,0,0.978,0.999,4.002,3.883,0.563,0.41,0.506,0.481,-0.001,0.003,-0.023,-0.056,-0.113,0.99,0.215,1.795,-17.066,0.966,-0.162,0.18,29.781,3.934,-21.594,-30.165,2.272,-23.931,0.064,-0.114,0.99,0.053,-0.117,0.99,,7,room,Low
