Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
11-49-52,1.152,0,0.999,0.995,2.937,2.766,0.465,0.49,0.447,0.509,0.012,0.007,-0.042,-0.199,-0.264,0.938,-52.533,2.53,74.899,0.781,-0.567,0.047,34.034,7.356,-41.953,-30.811,6.617,-41.638,0.183,-0.272,0.939,0.241,-0.261,0.928,,9,beach,Low
11-49-53,0.684,0,0.999,0.997,2.966,2.815,0.438,0.491,0.416,0.508,0.003,0.007,-0.042,-0.277,-0.276,0.919,-52.336,2.514,74.951,0.703,-0.664,0.236,34.537,7.389,-42.06,-30.305,6.716,-41.798,0.241,-0.288,0.926,0.323,-0.265,0.907,,9,beach,Low
11-49-54,2.067,0,0.942,0.935,2.467,2.372,0.523,0.448,0.454,0.396,0.001,0.006,-0.035,0.014,-0.058,0.979,-43.979,2.111,62.394,0.221,-0.24,-0.463,33.348,7.836,-42.041,-31.725,7.448,-41.853,-0.037,-0.064,0.854,-0.019,-0.058,0.846,,9,beach,Low
11-49-55,2.443,0,0.96,0.927,2.389,2.237,0.516,0.465,0.384,0.356,0.003,0.006,-0.037,-0.026,-0.169,0.961,-46.305,2.205,65.412,0.191,-0.374,-0.588,33.374,7.66,-42.06,-31.655,7.271,-42.361,0.002,-0.155,0.84,0.024,-0.153,0.835,,9,beach,Low
11-49-56,2.157,0,1.0,1.0,3.027,2.755,0.514,0.424,0.517,0.441,0.006,0.008,-0.041,0.011,0.05,0.997,-52.879,2.57,74.495,-0.085,0.073,-0.987,33.407,7.787,-41.038,-31.786,7.161,-41.174,-0.011,0.042,0.998,-0.001,0.058,0.997,,9,beach,Low
11-49-57,2.902,0,0.992,0.985,3.29,2.958,0.528,0.466,0.53,0.484,0.003,0.007,-0.041,0.045,-0.129,0.98,-52.983,2.564,74.635,-0.182,-0.084,-0.956,33.165,7.333,-41.152,-31.961,6.84,-41.721,-0.05,-0.139,0.978,-0.045,-0.13,0.979,,9,beach,Low
11-49-58,1.526,0,0.95,0.92,2.342,2.171,0.445,0.479,0.43,0.499,0.01,0.006,-0.037,-0.197,-0.184,0.944,-45.954,2.197,65.094,0.643,-0.396,-0.044,34.503,7.721,-42.832,-30.433,7.187,-43.018,0.168,-0.184,0.821,0.212,-0.185,0.808,,9,beach,Low
11-49-59,1.178,0,1.0,1.0,2.963,2.688,0.461,0.493,0.445,0.517,0.003,0.007,-0.043,-0.206,-0.265,0.941,-52.446,2.514,75.008,0.793,-0.605,0.036,34.145,7.379,-42.446,-30.749,6.709,-42.748,0.179,-0.27,0.945,0.234,-0.259,0.935,,9,beach,Low
11-50-00,1.18,0,0.901,0.899,2.255,2.077,0.426,0.415,0.351,0.366,0.008,0.006,-0.035,-0.131,-0.164,0.946,-43.286,2.064,61.926,0.479,-0.48,-0.037,33.701,7.665,-42.548,-31.295,7.05,-42.771,0.108,-0.166,0.781,0.152,-0.161,0.765,,9,beach,Low
11-50-01,2.758,0,1.0,1.0,2.71,2.529,0.528,0.449,0.532,0.457,0.02,0.008,-0.042,0.067,-0.119,0.987,-52.866,2.536,74.804,0.007,-0.219,-0.967,33.254,7.871,-41.833,-31.975,7.609,-42.309,-0.071,-0.118,0.987,-0.056,-0.112,0.989,,9,beach,Low
11-50-02,2.497,0,1.0,1.0,2.866,2.619,0.496,0.432,0.494,0.45,-0.001,0.008,-0.042,-0.064,-0.055,0.995,-52.849,2.57,74.496,-0.009,-0.059,-0.997,33.68,8.073,-41.739,-31.433,7.563,-42.287,0.053,-0.059,0.995,0.074,-0.048,0.995,,9,beach,Low
11-50-03,2.663,0,0.934,0.919,2.542,2.165,0.442,0.391,0.441,0.41,0.008,0.006,-0.035,-0.057,-0.095,0.981,-44.117,2.131,62.199,-0.133,-0.089,-0.589,33.6,7.902,-41.925,-31.488,7.447,-42.509,0.031,-0.117,0.848,0.038,-0.1,0.809,,9,beach,Low
11-50-04,1.2,0,0.918,0.857,2.637,2.422,0.547,0.507,0.473,0.459,0.004,0.006,-0.039,0.121,-0.3,0.93,-48.604,2.307,68.491,-0.629,-0.539,-0.255,32.98,7.132,-41.898,-31.957,6.832,-42.479,-0.133,-0.292,0.847,-0.084,-0.31,0.846,,9,beach,Low
11-50-05,0.511,0,0.955,0.773,3.018,2.635,0.582,0.526,0.562,0.554,0.002,0.007,-0.042,0.165,-0.443,0.88,-53.088,2.497,74.459,-0.561,-0.792,-0.229,32.28,7.018,-42.126,-32.49,6.532,-42.756,-0.202,-0.412,0.887,-0.122,-0.47,0.873,,9,beach,Low
11-50-06,0.778,0,0.985,0.912,2.866,2.575,0.583,0.493,0.562,0.517,0.001,0.007,-0.042,0.169,-0.342,0.923,-53.343,2.496,74.302,-0.516,-0.747,-0.417,32.258,7.52,-42.034,-32.477,7.013,-42.62,-0.205,-0.325,0.922,-0.136,-0.357,0.922,,9,beach,Low
11-50-07,1.095,0,0.911,0.883,2.102,1.921,0.468,0.39,0.385,0.338,0.002,0.006,-0.033,0.094,-0.167,0.955,-41.113,1.936,57.461,-0.289,-0.423,-0.247,33.004,7.911,-41.815,-31.921,7.499,-42.371,-0.108,-0.157,0.768,-0.057,-0.173,0.771,,9,beach,Low
11-50-08,1.808,0,1.0,1.0,2.766,2.551,0.506,0.408,0.506,0.423,-0.002,0.008,-0.041,-0.025,-0.011,0.999,-52.821,2.549,74.491,-0.045,-0.057,-0.997,33.57,8.255,-40.461,-31.621,7.804,-41.022,0.007,-0.017,0.999,0.038,-0.005,0.998,,9,beach,Low
11-50-09,4.341,0,1.0,1.0,2.869,2.775,0.512,0.404,0.51,0.421,0.001,0.008,-0.041,-0.007,0.105,0.99,-52.807,2.586,74.405,0.058,0.245,-0.953,33.431,7.939,-40.317,-31.638,7.474,-40.957,0.005,0.102,0.991,0.012,0.108,0.99,,9,beach,Low
11-50-10,2.001,0,0.967,0.967,2.815,2.315,0.594,0.444,0.523,0.394,0.001,0.007,-0.038,0.233,-0.12,0.936,-48.272,2.318,68.095,-0.58,-0.281,-0.317,32.173,7.868,-40.779,-32.859,7.489,-41.716,-0.254,-0.128,0.886,-0.216,-0.109,0.811,,9,beach,Low
11-50-11,0.808,0,1.0,1.0,2.958,2.691,0.59,0.49,0.58,0.5,-0.001,0.007,-0.041,0.255,-0.261,0.929,-53.244,2.508,74.568,-0.799,-0.576,-0.157,32.35,7.042,-40.804,-32.644,6.872,-41.548,-0.289,-0.252,0.922,-0.221,-0.273,0.934,,9,beach,Low
11-50-12,0.73,0,0.822,0.832,1.924,1.726,0.219,0.16,0.211,0.169,0.001,0.005,-0.03,0.202,-0.233,0.931,-38.802,1.82,54.192,-0.507,-0.493,0.118,32.789,6.584,-40.948,-32.205,6.761,-41.625,-0.222,-0.22,0.656,-0.172,-0.249,0.66,,9,beach,Low
11-50-13,1.91,0,1.0,1.0,2.481,2.36,0.507,0.416,0.51,0.423,0.018,0.007,-0.037,0.014,-0.007,0.997,-48.457,2.336,68.274,-0.021,-0.018,-0.832,33.574,8.059,-40.638,-31.659,7.638,-40.504,-0.021,-0.008,0.914,-0.005,0.005,0.915,,9,beach,Low
11-50-14,2.457,0,1.0,1.0,3.004,2.914,0.522,0.404,0.519,0.411,0.016,0.008,-0.041,0.043,0.092,0.989,-52.873,2.576,74.346,0.036,0.206,-0.966,33.325,8.022,-40.525,-31.736,7.843,-41.132,-0.045,0.092,0.989,-0.027,0.089,0.989,,9,beach,Low
11-50-15,1.913,0,0.959,0.966,2.672,2.553,0.565,0.453,0.558,0.464,0.008,0.006,-0.035,0.122,-0.094,0.966,-45.977,2.204,64.802,-0.53,-0.238,-0.309,32.633,7.478,-40.625,-32.351,7.353,-41.817,-0.145,-0.103,0.872,-0.12,-0.105,0.876,,9,beach,Low
