Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
11-50-24,2.163,0,0.989,0.998,2.882,2.705,0.509,0.457,0.51,0.46,-0.007,0.007,-0.041,0.004,-0.047,0.993,-52.937,2.566,74.38,-0.002,0.011,-0.989,33.559,7.301,-41.229,-31.61,7.115,-41.531,-0.018,-0.059,0.993,0.002,-0.047,0.992,,9,beach,Low
11-50-25,3.873,0,0.959,0.994,3.029,2.996,0.512,0.472,0.511,0.484,0.022,0.008,-0.043,0.009,-0.207,0.978,-52.945,2.557,74.32,0.068,-0.263,-0.962,33.446,7.747,-42.573,-31.61,7.38,-42.816,-0.008,-0.207,0.978,-0.002,-0.209,0.978,,9,beach,Low
11-50-26,2.567,0,0.924,0.898,2.342,2.062,0.516,0.471,0.447,0.415,0.01,0.006,-0.037,0.03,-0.131,0.972,-45.962,2.218,64.806,0.152,-0.179,-0.649,33.367,7.564,-42.113,-31.816,7.172,-42.251,-0.036,-0.126,0.843,-0.022,-0.122,0.8,,9,beach,Low
11-50-27,2.04,0,0.93,0.865,2.762,2.597,0.466,0.517,0.451,0.537,0.007,0.007,-0.042,-0.178,-0.338,0.91,-52.784,2.529,74.487,0.698,-0.583,0.123,34.052,6.863,-41.901,-30.796,6.433,-42.593,0.168,-0.337,0.915,0.2,-0.341,0.905,,9,beach,Low
11-50-28,2.095,0,0.769,0.688,1.33,1.25,0.336,0.324,0.246,0.253,0.0,0.004,-0.025,0.03,-0.257,0.931,-31.149,1.475,43.979,0.143,-0.488,0.194,32.921,6.561,-42.074,-31.645,6.204,-42.56,-0.031,-0.256,0.521,-0.027,-0.266,0.517,,9,beach,Low
11-50-29,3.705,0,1.0,1.0,2.654,2.471,0.548,0.444,0.549,0.443,0.011,0.007,-0.04,0.128,0.044,0.978,-50.516,2.415,71.415,-0.812,-0.223,-0.382,32.995,7.453,-41.854,-32.159,7.561,-42.643,-0.127,0.045,0.934,-0.112,0.041,0.938,,9,beach,Low
11-50-30,2.234,0,1.0,1.0,3.059,2.802,0.562,0.473,0.559,0.472,0.01,0.007,-0.042,0.183,-0.079,0.95,-53.057,2.518,74.833,-0.833,-0.369,-0.179,32.778,7.172,-41.913,-32.26,7.368,-43.137,-0.196,-0.08,0.946,-0.166,-0.086,0.954,,9,beach,Low
11-50-31,0.945,0,0.959,0.944,2.54,2.245,0.457,0.432,0.5,0.499,0.003,0.007,-0.039,0.043,-0.207,0.946,-48.87,2.3,68.524,-0.664,-0.542,0.297,33.377,7.11,-41.803,-31.437,7.271,-43.394,-0.058,-0.198,0.824,0.001,-0.201,0.825,,9,beach,Low
11-50-32,0.772,0,0.935,0.899,2.538,2.227,0.401,0.435,0.381,0.445,0.002,0.006,-0.038,-0.161,-0.228,0.946,-47.022,2.205,65.73,-0.603,-0.587,0.029,34.237,7.173,-41.956,-30.579,7.152,-43.445,0.126,-0.232,0.831,0.189,-0.229,0.82,,9,beach,Low
11-50-33,2.677,0,1.0,1.0,2.925,2.749,0.47,0.422,0.469,0.426,0.002,0.008,-0.042,-0.113,0.013,0.985,-53.076,2.539,74.754,-0.055,-0.101,-0.974,34.203,8.02,-41.445,-30.949,7.864,-41.824,0.099,0.015,0.986,0.119,0.019,0.984,,9,beach,Low
