Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
11-59-02,3.004,0,0.946,0.939,2.845,2.744,0.446,0.444,0.437,0.427,0.006,0.007,-0.036,0.01,-0.01,0.995,-3.291,8.717,102.083,-0.039,-0.173,0.9,35.364,7.894,-42.663,-29.698,7.801,-40.578,-0.006,-0.016,0.899,-0.016,-0.017,0.898,,9,roller,Low
11-59-03,2.629,0,0.844,0.845,2.126,2.097,0.417,0.49,0.324,0.382,0.016,0.006,-0.036,-0.073,-0.173,0.978,-6.209,9.114,113.118,-0.394,0.406,0.717,35.725,7.63,-43.856,-29.098,6.509,-37.991,0.073,-0.166,0.802,0.07,-0.168,0.802,,9,roller,Low
11-59-04,2.696,0,1.0,1.0,3.166,3.046,0.436,0.446,0.43,0.422,-0.0,0.007,-0.039,-0.03,-0.056,0.994,-22.06,19.539,143.348,-0.936,0.102,0.186,35.42,7.891,-42.569,-29.592,6.893,-36.774,0.034,-0.055,0.993,0.025,-0.059,0.994,,9,roller,Low
11-59-05,2.294,0,0.926,0.902,2.812,2.654,0.41,0.406,0.413,0.386,0.011,0.007,-0.035,0.029,-0.031,0.997,-34.564,16.498,130.114,-0.657,-0.442,0.459,35.099,8.452,-45.09,-30.213,7.097,-38.054,-0.026,-0.031,0.876,-0.033,-0.041,0.845,,9,roller,Low
11-59-06,2.813,0,1.0,1.0,3.104,3.091,0.479,0.445,0.482,0.419,0.009,0.007,-0.04,0.105,-0.032,0.992,-52.288,9.006,160.297,-0.074,-0.214,0.917,34.755,7.796,-42.412,-30.501,6.774,-36.19,-0.102,-0.029,0.992,-0.114,-0.041,0.991,,9,roller,Low
11-59-07,2.691,0,0.93,0.931,2.315,2.131,0.47,0.463,0.466,0.447,0.01,0.006,-0.036,0.071,-0.094,0.99,-48.156,10.473,162.551,0.057,0.721,0.581,34.972,7.818,-43.166,-30.255,6.913,-38.046,-0.073,-0.101,0.908,-0.073,-0.096,0.881,,9,roller,Low
11-59-08,1.282,0,0.94,0.877,3.003,2.843,0.526,0.541,0.525,0.524,-0.0,0.006,-0.041,0.251,-0.375,0.889,-51.094,27.87,189.538,0.729,0.457,0.189,34.012,6.791,-43.457,-31.132,5.723,-38.054,-0.25,-0.365,0.893,-0.254,-0.388,0.881,,9,roller,Low
11-59-09,1.031,0,0.925,0.856,2.872,2.805,0.514,0.538,0.509,0.524,0.002,0.006,-0.041,0.212,-0.376,0.894,-39.085,31.013,189.897,0.417,-0.86,0.15,34.197,6.835,-43.467,-30.844,5.726,-38.04,-0.208,-0.363,0.901,-0.211,-0.386,0.89,,9,roller,Low
11-59-10,3.412,0,0.956,0.952,2.667,2.491,0.446,0.465,0.435,0.447,0.006,0.007,-0.041,0.001,-0.14,0.984,-34.165,17.809,186.886,-0.009,-0.823,-0.468,35.277,7.835,-43.242,-29.652,6.758,-37.736,-0.0,-0.138,0.984,-0.003,-0.137,0.953,,9,roller,Low
11-59-11,1.948,0,0.934,0.927,2.306,2.154,0.393,0.401,0.386,0.388,0.001,0.007,-0.036,-0.01,-0.08,0.996,-30.71,6.155,153.993,-0.013,0.073,-0.767,35.418,8.119,-43.115,-29.642,7.018,-37.921,0.008,-0.071,0.867,0.012,-0.082,0.866,,9,roller,Low
