Time,fms,HR,individual,simulation
12-44-06,2,71.930,12,walk
12-44-07,2,71.980,12,walk
12-44-08,2,72.070,12,walk
12-44-09,2,72.170,12,walk
12-44-10,2,72.280,12,walk
12-44-11,2,72.400,12,walk
12-44-12,2,72.520,12,walk
12-44-13,2,72.670,12,walk
12-44-14,2,72.720,12,walk
12-44-15,2,72.850,12,walk
12-44-16,2,72.950,12,walk
12-44-17,2,73.050,12,walk
12-44-18,2,73.130,12,walk
12-44-19,2,73.220,12,walk
12-44-20,2,73.320,12,walk
12-44-21,2,73.420,12,walk
12-44-22,2,73.520,12,walk
12-44-23,2,73.670,12,walk
12-44-24,2,73.720,12,walk
12-44-25,2,73.780,12,walk
12-44-26,2,73.870,12,walk
12-44-27,2,73.930,12,walk
12-44-28,2,74.020,12,walk
12-44-29,2,74.100,12,walk
12-44-30,2,74.180,12,walk
12-44-31,2,74.320,12,walk
12-44-32,2,74.430,12,walk
12-44-33,2,74.480,12,walk
12-44-34,2,74.500,12,walk
12-44-35,2,74.530,12,walk
