Time,fms,HR,individual,simulation
11-53-37,2,88.600,13,roller
11-53-38,2,88.600,13,roller
11-53-39,2,88.600,13,roller
11-53-40,2,88.570,13,roller
11-53-41,2,88.520,13,roller
11-53-42,2,88.430,13,roller
11-53-43,2,88.350,13,roller
11-53-44,2,88.250,13,roller
11-53-45,2,88.150,13,roller
11-53-46,2,88.050,13,roller
11-53-47,2,87.930,13,roller
11-53-48,2,87.800,13,roller
11-53-49,2,87.650,13,roller
11-53-50,2,87.480,13,roller
11-53-51,2,87.320,13,roller
11-53-52,2,87.150,13,roller
11-53-53,2,87.000,13,roller
11-53-54,2,86.870,13,roller
11-53-55,2,86.770,13,roller
11-53-56,2,86.700,13,roller
11-53-57,2,86.630,13,roller
11-53-58,2,86.570,13,roller
11-53-59,2,86.530,13,roller
11-54-00,2,86.520,13,roller
11-54-01,2,86.500,13,roller
11-54-02,2,86.520,13,roller
11-54-03,2,86.550,13,roller
11-54-04,2,86.580,13,roller
11-54-05,2,86.750,13,roller
11-54-06,2,86.850,13,roller
