Time,fms,HR,individual,simulation
05-03-07,0,103.520,14,beach
05-03-08,0,103.530,14,beach
05-03-09,0,103.430,14,beach
05-03-10,0,103.320,14,beach
05-03-11,0,103.170,14,beach
05-03-12,0,103.000,14,beach
05-03-13,0,102.850,14,beach
05-03-14,0,102.700,14,beach
05-03-15,0,102.230,14,beach
05-03-16,0,101.770,14,beach
05-03-17,0,101.350,14,beach
05-03-18,0,100.950,14,beach
05-03-19,0,100.620,14,beach
05-03-20,0,100.300,14,beach
05-03-21,0,100.000,14,beach
05-03-22,0,99.750,14,beach
05-03-23,0,99.500,14,beach
05-03-24,0,99.380,14,beach
05-03-25,0,99.220,14,beach
05-03-26,0,98.870,14,beach
05-03-27,0,98.480,14,beach
05-03-28,0,98.000,14,beach
05-03-29,0,97.530,14,beach
05-03-30,0,97.030,14,beach
05-03-31,0,96.580,14,beach
05-03-32,0,96.120,14,beach
05-03-33,0,95.670,14,beach
05-03-34,0,95.170,14,beach
05-03-35,0,94.670,14,beach
05-03-36,0,94.220,14,beach
