Time,fms,HR,individual,simulation
03-33-58,0,80.980,2,room
03-33-59,0,80.870,2,room
03-34-00,0,80.720,2,room
03-34-01,0,80.550,2,room
03-34-02,0,80.370,2,room
03-34-03,0,80.220,2,room
03-34-04,0,80.050,2,room
03-34-05,0,79.870,2,room
03-34-06,0,79.730,2,room
03-34-07,0,79.700,2,room
03-34-08,0,79.680,2,room
03-34-09,0,79.650,2,room
03-34-10,0,79.630,2,room
03-34-11,0,79.580,2,room
03-34-12,0,79.400,2,room
03-34-13,0,79.080,2,room
03-34-14,0,78.800,2,room
03-34-15,0,78.580,2,room
03-34-16,0,78.250,2,room
03-34-17,0,77.950,2,room
03-34-18,0,77.900,2,room
03-34-19,0,77.870,2,room
03-34-20,0,78.000,2,room
03-34-21,0,78.070,2,room
03-34-22,0,78.050,2,room
03-34-23,0,78.020,2,room
03-34-24,0,78.000,2,room
03-34-25,0,78.000,2,room
03-34-26,0,78.050,2,room
03-34-27,0,78.150,2,room
