Time,fms,HR,individual,simulation
03-56-18,2,127.120,8,walk
03-56-19,2,127.030,8,walk
03-56-20,2,126.950,8,walk
03-56-21,2,126.880,8,walk
03-56-22,2,126.820,8,walk
03-56-23,2,126.770,8,walk
03-56-24,2,126.700,8,walk
03-56-25,2,126.630,8,walk
03-56-26,2,126.570,8,walk
03-56-27,2,126.520,8,walk
03-56-28,2,126.450,8,walk
03-56-29,2,126.380,8,walk
03-56-30,2,126.320,8,walk
03-56-31,2,126.270,8,walk
03-56-32,2,126.220,8,walk
03-56-33,2,126.200,8,walk
03-56-34,2,126.180,8,walk
03-56-35,2,126.170,8,walk
03-56-36,2,126.170,8,walk
03-56-37,2,126.170,8,walk
03-56-38,2,126.180,8,walk
03-56-39,2,126.200,8,walk
03-56-40,2,126.220,8,walk
03-56-41,2,126.230,8,walk
03-56-42,2,126.250,8,walk
03-56-43,2,126.270,8,walk
03-56-44,2,126.280,8,walk
03-56-45,2,126.300,8,walk
03-56-46,2,126.330,8,walk
03-56-47,2,126.350,8,walk
